2.40774e+00, { 1.3e-03 } ,6.98062e+04, { 7.9e+01 } ,4.57836e+05, { 3.3e+02 } ,3.80894e+05, { 2.9e+02 } ,5.08043e+05, { 7.7e+02 } ,8.31944e-01, { 8.6e-04 } ,1.10966e+00, { 1.9e-03 } ,1.33382e+00, { 2.3e-03 } ,3.28237e+02, { 2.9e-01 } ,2.95800e+02, { 4.8e-01 } ,3.94543e+02, { 3.6e-01 } ,1.83269e-01, { 2.5e-04 } ,'Sample Name' run on 12 January 2023 at 10:58, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13346.RUN
2.47052e+00, { 1.1e-03 } ,7.01634e+04, { 8.8e+01 } ,4.65875e+05, { 3.2e+02 } ,3.85174e+05, { 3.2e+02 } ,5.21536e+05, { 8.3e+02 } ,8.26774e-01, { 8.9e-04 } ,1.11948e+00, { 1.9e-03 } ,1.35403e+00, { 2.4e-03 } ,3.30984e+02, { 2.7e-01 } ,2.95660e+02, { 4.9e-01 } ,4.00332e+02, { 3.8e-01 } ,1.82161e-01, { 2.7e-04 } ,'Sample Name' run on 16 January 2023 at 10:37, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13363.RUN
2.42953e+00, { 1.5e-03 } ,7.02533e+04, { 8.5e+01 } ,4.61084e+05, { 3.9e+02 } ,3.82507e+05, { 2.7e+02 } ,5.11424e+05, { 8.4e+02 } ,8.29583e-01, { 9.0e-04 } ,1.10918e+00, { 2.0e-03 } ,1.33703e+00, { 2.4e-03 } ,3.28876e+02, { 3.4e-01 } ,2.96504e+02, { 5.2e-01 } ,3.96435e+02, { 3.6e-01 } ,1.83665e-01, { 2.6e-04 } ,'Sample Name' run on 16 January 2023 at 11:05, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13364.RUN
2.43010e+00, { 1.3e-03 } ,6.94847e+04, { 8.4e+01 } ,4.59893e+05, { 2.8e+02 } ,3.80409e+05, { 3.8e+02 } ,5.09627e+05, { 7.9e+02 } ,8.27169e-01, { 9.7e-04 } ,1.10814e+00, { 1.8e-03 } ,1.33968e+00, { 2.5e-03 } ,3.29804e+02, { 2.7e-01 } ,2.97619e+02, { 4.9e-01 } ,3.98715e+02, { 4.5e-01 } ,1.82658e-01, { 2.9e-04 } ,'Sample Name' run on 17 January 2023 at 10:35, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13369.RUN
2.41402e+00, { 1.5e-03 } ,6.99628e+04, { 8.8e+01 } ,4.59880e+05, { 3.2e+02 } ,3.82617e+05, { 3.2e+02 } ,5.09925e+05, { 8.3e+02 } ,8.31993e-01, { 9.1e-04 } ,1.10882e+00, { 2.0e-03 } ,1.33273e+00, { 2.4e-03 } ,3.27631e+02, { 3.0e-01 } ,2.95477e+02, { 5.1e-01 } ,3.93791e+02, { 4.1e-01 } ,1.82853e-01, { 2.8e-04 } ,'Sample Name' run on 17 January 2023 at 11:09, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13370.RUN
2.41155e+00, { 1.0e-03 } ,6.87535e+04, { 8.3e+01 } ,4.55240e+05, { 3.5e+02 } ,3.75980e+05, { 3.5e+02 } ,5.09560e+05, { 8.1e+02 } ,8.25895e-01, { 1.0e-03 } ,1.11932e+00, { 2.0e-03 } ,1.35528e+00, { 2.5e-03 } ,3.30632e+02, { 2.9e-01 } ,2.95386e+02, { 4.8e-01 } ,4.00332e+02, { 4.1e-01 } ,1.82865e-01, { 2.8e-04 } ,'Sample Name' run on 19 January 2023 at 10:36, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13387.RUN
2.42137e+00, { 1.4e-03 } ,6.98416e+04, { 1.0e+02 } ,4.59453e+05, { 3.4e+02 } ,3.80762e+05, { 3.1e+02 } ,5.08095e+05, { 8.6e+02 } ,8.28729e-01, { 9.1e-04 } ,1.10587e+00, { 2.1e-03 } ,1.33442e+00, { 2.5e-03 } ,3.28934e+02, { 3.1e-01 } ,2.97444e+02, { 5.4e-01 } ,3.96914e+02, { 4.0e-01 } ,1.83426e-01, { 3.1e-04 } ,'Sample Name' run on 19 January 2023 at 11:08, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13388.RUN
4.79240e-01, { 3.8e-04 } ,1.24994e+04, { 4.7e+01 } ,8.73811e+04, { 1.4e+02 } ,6.91240e+04, { 1.0e+02 } ,1.56829e+03, { 1.1e+03 } ,7.91063e-01, { 1.8e-03 } ,1.79477e-02, { 1.2e-02 } ,2.26880e-02, { 1.6e-02 } ,3.42314e+02, { 6.3e-01 } ,1.90729e+04, { 1.3e+04 } ,4.32726e+02, { 7.4e-01 } ,1.80826e-01, { 7.3e-04 } ,'Sample Name' run on 14 February 2023 at 13:42, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13393.RUN
4.84223e-01, { 2.5e-04 } ,1.27713e+04, { 3.0e+01 } ,8.83274e+04, { 9.5e+01 } ,6.99991e+04, { 8.5e+01 } ,2.34874e+03, { 7.4e+02 } ,7.92496e-01, { 1.3e-03 } ,2.65913e-02, { 8.4e-03 } ,3.35539e-02, { 1.1e-02 } ,3.42168e+02, { 4.1e-01 } ,1.28677e+04, { 4.1e+03 } ,4.31760e+02, { 5.7e-01 } ,1.82450e-01, { 4.8e-04 } ,'1p' run on 15 February 2023 at 10:48, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13394.RUN
9.57120e-01, { 4.9e-04 } ,2.59105e+04, { 3.9e+01 } ,1.76915e+05, { 1.3e+02 } ,1.41764e+05, { 1.4e+02 } ,1.27089e+03, { 7.1e+02 } ,8.01313e-01, { 1.0e-03 } ,7.18363e-03, { 4.0e-03 } ,8.96482e-03, { 5.0e-03 } ,3.37669e+02, { 3.1e-01 } ,4.70054e+04, { 2.6e+04 } ,4.21395e+02, { 4.8e-01 } ,1.82772e-01, { 3.3e-04 } ,'2p' run on 15 February 2023 at 11:15, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13395.RUN
1.44795e+00, { 7.4e-04 } ,3.94826e+04, { 5.4e+01 } ,2.68643e+05, { 2.0e+02 } ,2.16471e+05, { 1.6e+02 } ,3.05417e+05, { 8.7e+02 } ,8.05794e-01, { 8.4e-04 } ,1.13689e+00, { 3.3e-03 } ,1.41089e+00, { 4.1e-03 } ,3.36407e+02, { 3.0e-01 } ,2.95902e+02, { 8.5e-01 } ,4.17485e+02, { 3.8e-01 } ,1.82392e-01, { 2.8e-04 } ,'5p' run on 15 February 2023 at 11:53, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13396.RUN
2.41774e+00, { 1.2e-03 } ,6.66333e+04, { 6.1e+01 } ,4.51481e+05, { 2.8e+02 } ,3.65409e+05, { 2.7e+02 } ,5.08752e+05, { 8.9e+02 } ,8.09356e-01, { 7.8e-04 } ,1.12685e+00, { 2.1e-03 } ,1.39228e+00, { 2.6e-03 } ,3.34240e+02, { 2.7e-01 } ,2.96614e+02, { 5.4e-01 } ,4.12970e+02, { 3.7e-01 } ,1.82353e-01, { 2.1e-04 } ,'5p' run on 15 February 2023 at 12:10, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13397.RUN
4.85810e+00, { 2.2e-03 } ,1.34508e+05, { 1.2e+02 } ,9.12778e+05, { 6.3e+02 } ,7.37864e+05, { 4.9e+02 } ,1.02243e+06, { 8.2e+02 } ,8.08372e-01, { 7.7e-04 } ,1.12013e+00, { 1.2e-03 } ,1.38566e+00, { 1.4e-03 } ,3.32193e+02, { 2.8e-01 } ,2.96567e+02, { 2.7e-01 } ,4.10940e+02, { 3.3e-01 } ,1.82294e-01, { 2.0e-04 } ,'5p' run on 15 February 2023 at 12:40, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13398.RUN
